"","bigram","n"
"96","E4_F#4",12
"97","G4_Ab4",12
"98","Ab4_Ab4",11
"99","Bb4_G5",11
"100","Bb5_G5",11
"101","Eb4_D4",11
"102","F5_Bb5",11
"103","G4_F#5",11
"104","A4_F4",10
"105","Bb5_D6",10
"106","D6_C#6",10
"107","D6_D6",10
"108","F5_Ab5",10
"109","G5_Bb4",10
"110","Bb4_Eb5",9
"111","Bb5_C6",9
"112","C#5_E5",9
"113","C6_Bb5",9
"114","F#4_F#4",9
"115","F#5_A5",9
"116","A4_D4",8
"117","C#6_Bb5",8
"118","D5_D6",8
"119","D5_F4",8
"120","F5_Db5",8
"121","G4_F5",8
"122","G5_D4",8
"123","A4_C#5",7
"124","B4_C5",7
"125","D5_F#5",7
"126","E5_Db5",7
"127","F4_A4",7
"128","A5_F#5",6
"129","Bb4_Bb5",6
"130","C#5_C#5",6
"131","C#5_Eb5",6
"132","C5_F4",6
"133","D4_C5",6
"134","D5_D4",6
"135","D5_F#4",6
"136","D6_Bb5",6
"137","E4_F4",6
"138","F#4_Eb4",6
"139","F4_E4",6
"140","A4_Eb5",5
"141","A5_D5",5
"142","Bb3_D4",5
"143","C#5_A4",5
"144","C5_C6",5
"145","D5_E5",5
"146","F4_D5",5
"147","G3_Bb3",5
"148","G5_E5",5
"149","G5_F4",5
"150","A4_A5",4
"151","B4_D5",4
"152","C6_A5",4
"153","C6_D6",4
"154","D4_A4",4
"155","D5_A5",4
"156","D6_A5",4
"157","D6_C6",4
"158","D6_D5",4
"159","Eb4_F4",4
"160","Eb5_F#5",4
"161","F#5_D5",4
"162","F4_D4",4
"163","F4_Eb4",4
"164","F5_A5",4
"165","G3_D4 G4",4
"166","G3_D5",4
"167","G3_G4",4
"168","G4_C#5",4
"169","G5_A4",4
"170","A5_C5",3
"171","A5_D6",3
"172","Ab5_F5",3
"173","Bb5_Ab5",3
"174","Bb5_D5",3
"175","Bb5_F#5",3
"176","C#6_D6",3
"177","C5_C#5",3
"178","C6_C6",3
"179","D4 G4_G3",3
"180","D4_Bb3",3
"181","D4_C4",3
"182","D4_D5",3
"183","D4_Eb4",3
"184","Db5_Db5",3
"185","Db5_E5",3
"186","E5_Eb5",3
"187","E5_F#5",3
"188","E6_D6",3
"189","Eb4_Eb5",3
"190","Eb5_A5",3
"191","F4_Ab4",3
"192","F4_C5",3
"193","F5_Bb4",3
"194","G4_A5",3
"195","G4_E5",3
"196","G5_D6",3
"197","A3_C5",2
"198","A4_G3",2
"199","A5_C6",2
"200","Ab4_Bb4",2
"201","Ab5_Ab5",2
"202","B4_Bb4",2
"203","B4_G4",2
"204","Bb3_Bb4",2
"205","Bb3_D5",2
"206","Bb4_A3",2
"207","Bb4_Ab5",2
"208","Bb4_F#4",2
"209","Bb5_Bb4",2
"210","C#5_G4",2
"211","C4_Bb3",2
"212","C5_Ab4",2
"213","C5_Eb4",2
"214","C6_Bb4",2
"215","D4_Eb5",2
"216","D6_C5",2
"217","D6_F6",2
"218","D6_G5",2
"219","Db5_F5",2
"220","E5_G5",2
"221","Eb6_D6",2
"222","F#5_F5",2
"223","F5_Eb4",2
"224","F5_F4",2
"225","F6_E6",2
"226","G3_Bb4",2
"227","G4_B4",2
"228","G5_G3",2
"229","Gb5_F5",2
"230","A4_B4",1
"231","A4_Db5",1
"232","A5_Ab5",1
"233","A5_E5",1
"234","Ab4_A4",1
"235","Ab4_F4",1
"236","B4_Ab4",1
"237","B4_B4",1
"238","B4_Gb5",1
"239","Bb3_A4",1
"240","Bb3_C4",1
"241","Bb3_Eb5",1
"242","Bb3_G5",1
"243","Bb4_B4",1
"244","Bb4_Bb3",1
"245","Bb4_Db5",1
"246","Bb5_A4",1
"247","Bb5_C5",1
"248","Bb5_F4",1
"249","Bb5_G4",1
"250","C#5_C5",1
"251","C#5_F5",1
"252","C#6_C#6",1
"253","C#6_E6",1
"254","C4_F5",1
"255","C4_G4",1
"256","C5_A5",1
"257","C5_E5",1
"258","C6_C#6",1
"259","C6_C5",1
"260","C6_D5",1
"261","D4 C5 F#5_G3 D4 Bb4 G5",1
"262","D4 G4_G4",1
"263","D4_F5",1
"264","D5_Ab5",1
"265","D5_Bb3",1
"266","D5_C#6",1
"267","D5_Db5",1
"268","D5_NA",1
"269","D6_Eb5",1
"270","D6_Eb6",1
"271","E5_A5",1
"272","E5_G4",1
"273","Eb5_C6",1
"274","Eb5_D4",1
"275","Eb5_E5",1
"276","Eb5_Eb4",1
"277","Eb5_Eb6",1
"278","Eb5_F4",1
"279","Eb6_D5",1
"280","Eb6_Eb6",1
"281","F#4_C5",1
"282","F#4_Eb5",1
"283","F3_Bb3",1
"284","F4_E5",1
"285","F4_F#5",1
"286","F5_C#5",1
"287","F5_F#5",1
"288","F5_Gb5",1
"289","G3 D4 Bb4 G5_D4",1
"290","G3_C5",1
"291","G3_D4",1
"292","G3_G5",1
"293","G4_D4 C5 F#5",1
"294","G4_F3",1
"295","G5_C6",1
"296","G5_Eb6",1
